节点名称,百度MP3
音乐/歌手/许巍,许巍
音乐/歌手/崔子格,崔子格
音乐/歌手/孙露,孙露
音乐/歌手/Maroon,Maroon
音乐/歌手/张国荣,张国荣
音乐/歌手/林志炫,林志炫
音乐/歌手/KellyClarkson,KellyClarkson
音乐/歌手/孙燕姿,孙燕姿
音乐/歌手/张信哲,张信哲
音乐/歌手/刘若英,刘若英
音乐/歌手/齐秦,齐秦
音乐/歌手/张碧晨,张碧晨
音乐/歌手/李宗盛,李宗盛
音乐/歌手/韩红,韩红
音乐/歌手/张雨生,张雨生
音乐/歌手/周华健,周华健
音乐/歌手/五月天,五月天
音乐/歌手/龚玥,龚玥
音乐/歌手/李克勤,李克勤
音乐/歌手/徐良,徐良
音乐/歌手/高安,高安
音乐/歌手/DJ小可,DJ小可
音乐/歌手/杨坤,杨坤
音乐/歌手/谭咏麟,谭咏麟
音乐/歌手/王杰,王杰
音乐/歌手/那英,那英
音乐/歌手/曲婉婷,曲婉婷
音乐/歌手/大庆小芳,大庆小芳
音乐/歌手/梅艳芳,梅艳芳
音乐/歌手/王麟,王麟
音乐/歌手/周传雄,周传雄
音乐/歌手/庄心妍,庄心妍
音乐/歌手/孙楠,孙楠
音乐/歌手/伍佰,伍佰
音乐/歌手/高姗,高姗
音乐/歌手/刘欢,刘欢
音乐/歌手/任贤齐,任贤齐
音乐/歌手/石进,石进
音乐/歌手/信乐团,信乐团
音乐/歌手/蔡依林,蔡依林
音乐/歌手/王绎龙,王绎龙
音乐/歌手/儿歌,儿歌
音乐/歌手/T-ara,T-ara
音乐/歌手/杨钰莹,杨钰莹
音乐/歌手/黄磊,黄磊
音乐/歌手/萧亚轩,萧亚轩
音乐/歌手/萧敬腾,萧敬腾
音乐/歌手/S.H.E,S.H.E
音乐/歌手/林海,林海
音乐/歌手/EXO,EXO
音乐/歌手/陈瑞,陈瑞
音乐/歌手/魏晨,魏晨
音乐/歌手/陶喆,陶喆
音乐/歌手/玖月奇迹,玖月奇迹
音乐/歌手/郁可唯,郁可唯
音乐/歌手/陈百强,陈百强
音乐/歌手/韩宝仪,韩宝仪
音乐/歌手/彭佳慧,彭佳慧
音乐/歌手/杨宗纬,杨宗纬
音乐/歌手/大哲,大哲
音乐/歌手/庞龙,庞龙
音乐/歌手/范玮琪,范玮琪
音乐/歌手/羽泉,羽泉
音乐/歌手/郑容和,郑容和
音乐/歌手/DemiLovato,DemiLovato
音乐/歌手/胡彦斌,胡彦斌
音乐/歌手/G-Dragon,G-Dragon
音乐/歌手/MichaelJack..,MichaelJack..
音乐/歌手/黑鸭子,黑鸭子
音乐/歌手/SecretGard..,SecretGard..
音乐/歌手/蔡琴,蔡琴
音乐/歌手/少女时代,少女时代
音乐/歌手/TheDaydre..,TheDaydre..
音乐/歌手/林宥嘉,林宥嘉
音乐/歌手/高胜美,高胜美
音乐/歌手/Westlife,Westlife
音乐/歌手/佛教音乐,佛教音乐
音乐/歌手/陈洁仪,陈洁仪
音乐/歌手/罗中旭,罗中旭
音乐/歌手/LadyGaga,LadyGaga
音乐/歌手/水木年华,水木年华
音乐/歌手/KatyPerry,KatyPerry
音乐/歌手/林忆莲,林忆莲
音乐/歌手/李闰珉,李闰珉
音乐/歌手/BigBang,BigBang
音乐/歌手/罗大佑,罗大佑
音乐/歌手/李琦,李琦
音乐/歌手/AvrilLavigne,AvrilLavigne
音乐/歌手/曹格,曹格
音乐/歌手/金莎,金莎
音乐/歌手/戚薇,戚薇
音乐/歌手/小柯,小柯
音乐/歌手/动力火车,动力火车
音乐/歌手/SarahMcLa..,SarahMcLa..
音乐/歌手/久石让,久石让
音乐/歌手/SarahBright..,SarahBright..
音乐/歌手/黄绮珊,黄绮珊
音乐/歌手/李宇春,李宇春
音乐/歌手/许茹芸,许茹芸
音乐/歌手/费玉清,费玉清
音乐/歌手/李行亮,李行亮
音乐/歌手/宋祖英,宋祖英
音乐/歌手/庞麦郎,庞麦郎
音乐/歌手/蔡健雅,蔡健雅
音乐/歌手/OneRepublic,OneRepublic
音乐/歌手/郭德纲,郭德纲
音乐/歌手/Lenka,Lenka
音乐/歌手/李玲玉,李玲玉
音乐/歌手/NickiMinaj,NickiMinaj
音乐/歌手/何龙雨,何龙雨
音乐/歌手/EXO-M,EXO-M
音乐/歌手/JustinBieber,JustinBieber
音乐/歌手/苏打绿,苏打绿
音乐/歌手/黄渤,黄渤
音乐/歌手/逃跑计划乐队,逃跑计划乐队
音乐/歌手/赵传,赵传
音乐/歌手/王铮亮,王铮亮
音乐/歌手/林志颖,林志颖
音乐/歌手/Pitbull,Pitbull
音乐/歌手/孟庭苇,孟庭苇
音乐/歌手/李翊君,李翊君
音乐/歌手/田馥甄,田馥甄
音乐/歌手/阿桑,阿桑
音乐/歌手/霍尊,霍尊
音乐/歌手/Beyonce,Beyonce
音乐/歌手/郑智化,郑智化
音乐/歌手/小沈阳,小沈阳
音乐/歌手/王若琳,王若琳
音乐/歌手/王心凌,王心凌
音乐/歌手/CarlyRaeJ..,CarlyRaeJ..
音乐/歌手/韩磊,韩磊
音乐/歌手/本兮,本兮
音乐/歌手/古巨基,古巨基
音乐/歌手/Rihanna,Rihanna
音乐/歌手/阿杜,阿杜
音乐/歌手/王蓉,王蓉
音乐/歌手/张韶涵,张韶涵
音乐/歌手/陈小春,陈小春
音乐/歌手/陈学冬,陈学冬
音乐/歌手/彭丽媛,彭丽媛
音乐/歌手/回音哥,回音哥
音乐/歌手/小虎队,小虎队
音乐/歌手/鹿晗,鹿晗
音乐/歌手/张敬轩,张敬轩
音乐/歌手/孙子涵,孙子涵
音乐/歌手/成龙,成龙
音乐/歌手/老狼,老狼
音乐/歌手/钢琴曲,钢琴曲
音乐/歌手/李易峰,李易峰
音乐/歌手/迪克牛仔,迪克牛仔
音乐/歌手/郑钧,郑钧
音乐/歌手/Eminem,Eminem
音乐/歌手/姜育恒,姜育恒
音乐/歌手/轻音乐,轻音乐
音乐/歌手/沙宝亮,沙宝亮
音乐/歌手/辛晓琪,辛晓琪
音乐/歌手/阎维文,阎维文
音乐/歌手/许美静,许美静
音乐/歌手/吴亦凡,吴亦凡
音乐/歌手/胡夏,胡夏
音乐/歌手/杨千嬅,杨千嬅
音乐/歌手/屠洪刚,屠洪刚
